Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
2489,4.783E+05,7.894E+05,821,6.885E+04,3.703E+05,518.7
4060,9980,2.541E+04,116.6,1535,8605,92.77
4417,1.802E+04,2.966E+04,112.2,867.6,2750,77.63
5019,4655,4231,65.71,235,1726,58.44
5259,4255,4606,63.12,1197,5510,58.64
5500,911.1,4045,81.49,1160,4941,31.58
6221,4970,4.892E+04,133.9,795.5,4256,105.1
7677,8482,1.107E+04,53.63,1071,6367,93.55
8152,1438,1369,217.7,577.9,3800,97.56
10295,6100,1.067E+04,1.143E+04,2410,1.005E+04,893
10421,790.7,3371,1438,492.8,2213,231.2
10651,5015,7608,41.66,1332,5849,44.2
10767,3331,2695,58.33,266.3,1714,32.97
11731,693.7,468.5,588.6,310,259.3,136.9
13790,1.096E+04,2.322E+04,175.3,2428,1.209E+04,111.8
14747,1.039E+04,1.191E+04,70.43,942.6,6354,90.95
15350,1.433E+04,2.061E+04,252.6,515.4,1655,174.5
16193,2146,4282,58.32,554,2619,71.79
18732,3727,2316,54.84,290.8,1903,94.22
18970,2685,6788,52.49,278.5,2059,72.65
22094,1.612E+04,2.735E+04,192.7,1135,7333,140
23293,1.756E+04,2.719E+04,254,2206,1.27E+04,281.8
24591,990.8,4592,112.8,597.4,2824,39.52
26188,1837,2765,621.3,775.4,613.3,219.5
27394,1.509E+04,7.981E+04,201.6,1696,8967,118.3
28974,2.072E+04,8.433E+04,350.9,784.8,3873,191
30185,9891,1.052E+04,96,714,4938,62.16
31028,1.19E+04,2.172E+04,6588,1438,7142,621.4
31754,1.402E+04,1.465E+04,131.9,2209,1.166E+04,126.8
32476,4888,6144,52.3,1189,5230,103.8
33077,1590,6024,61.98,1027,4201,57.03
34634,8360,2.667E+04,2493,994.9,4710,324.8
34877,4717,4778,80.23,1167,4826,46.19
37150,6942,4901,89.51,1978,7939,73.47
38329,4849,6983,83.22,316.6,1549,52.96
38569,6033,6529,83.93,1473,6475,74.89
38924,1.064E+04,2.327E+04,110.1,1015,6809,86.69
39041,3.139E+05,3.744E+05,660.7,3.201E+04,1.788E+05,587.9
39747,5919,8321,62.5,1013,4503,35.31
40476,3999,3200,98.61,344.6,1958,112.2
41431,1.38E+04,1.264E+04,85.07,1633,8472,78.05
42279,4883,9.148E+04,151.3,316.9,1452,80.88
47095,4210,1905,46.6,238.6,1480,27.02
47454,3479,6984,89.97,878.7,3688,42.21
48176,1.402E+04,1.264E+04,2591,836.8,3862,269.1
48772,6151,4269,38.47,879.1,5533,42.49
49008,3083,3048,57.57,603.9,2618,47.76
49859,7.872E+04,2.194E+05,545.5,7664,4.434E+04,345.6
52748,2.406E+04,6.725E+04,130.4,2469,1.448E+04,106.4
54671,1219,2857,89.69,627.9,2552,55.92
56833,1.471E+04,6.207E+04,139.9,1771,1.012E+04,118.7
57550,4726,6017,57.97,812.7,3407,44.81
62343,2.773E+04,7.639E+04,289.2,1296,6956,203.8
64018,3155,4107,117.2,800.8,3172,100.6
64873,9685,2.236E+04,108.9,835.3,4068,138.7
67266,5182,6242,69.33,658.6,5693,63.48
68716,8077,9756,59.99,409.9,1962,49.12
68956,3259,4102,82.57,610.9,2838,45.66
