Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
257,7.116,32.47,5.017,459,53.75,66.49
386,5.534,18.53,5.548,4.098,53.46,70.51
518,6.286,13.84,9.247,5.788,58.55,67.14
647,186.7,169.8,29.63,6.962,55.83,78.22
774,13.47,178.6,19.27,461.4,62.88,75.33
2243,1245,2552,417.3,337.8,205.4,152.3
2489,4.783E+05,7.894E+05,821,6.885E+04,3.703E+05,518.7
2858,5.008E+05,8.359E+05,1012,3.953E+04,2.353E+05,569.2
2859,1203,930.2,52.29,71.84,324.4,22.31
3212,1.243E+04,1.764E+04,8512,1437,5024,754.8
3332,1.565E+04,5741,69.78,1228,7999,53.46
3455,2.686E+04,1.048E+05,5.454E+04,6997,2.11E+04,3883
3574,2726,2548,67.19,129.9,605.8,41.64
3696,935.4,876,53.1,51.48,275.8,56.66
3697,1647,1647,42.98,103.5,483.3,87.07
3698,734.2,1601,62.4,67.47,268,38.06
3814,219.6,700.7,161.5,103.1,106,113.4
3938,3209,2318,49.65,118,657.2,70.07
4060,9980,2.541E+04,116.6,1535,8605,92.77
4061,1174,1494,83.17,62.65,346.6,51.67
4182,367.1,954,364.3,387.8,239.3,173.8
4183,4346,8638,82.87,1063,4600,80.89
4417,1.802E+04,2.966E+04,112.2,867.6,2750,77.63
4418,5143,1.094E+04,89.76,290.3,2222,69
4538,4474,4613,47.42,207.8,1457,41.22
4539,3360,2331,71.09,148.4,864.6,51
4656,4126,5074,46.63,1095,4765,63.56
4898,3019,1751,49.4,117.9,578.1,37.65
5018,2.709E+04,1.036E+05,293,4612,2.566E+04,138
5019,4655,4231,65.71,235,1726,58.44
5135,1.227E+04,3.826E+04,267.4,3352,2.053E+04,240.5
5258,2663,2089,62.32,133.9,840.8,76.32
5259,4255,4606,63.12,1197,5510,58.64
5380,330.5,523.8,166.2,149.5,125.2,62.01
5381,2847,3508,51.24,106.2,624.3,30.55
5500,911.1,4045,81.49,1160,4941,31.58
5739,1371,1155,45.52,89.08,482.8,23.03
5985,6.096E+04,1.861E+05,775.7,2.08E+04,1.602E+05,602.9
5986,2567,1.877E+04,946.4,1054,809.9,286.2
6221,4970,4.892E+04,133.9,795.5,4256,105.1
6343,8632,5877,51.19,627.8,4082,87.21
6463,1188,1645,54.74,60.95,291.6,32.99
6464,2034,2884,60.02,125.8,652.6,61.45
6465,2781,1848,93.49,124.5,740.6,56.77
6466,265.9,517.3,271,126.8,105.4,178.5
6579,1788,2797,78.5,74.09,360.8,96.58
6702,538.1,1212,185.7,151,133.2,80.84
6822,871,1373,38.91,36.05,102.3,34.87
7068,5485,1.34E+04,1938,1565,1150,646.9
7188,1590,1674,24.51,106.9,501.9,32.97
7310,5331,7276,97.82,70.86,155.2,62.37
7553,3058,1828,48.72,249.5,1407,53.29
7554,9216,1.816E+04,88.49,512.9,2202,55.8
7677,8482,1.107E+04,53.63,1071,6367,93.55
7794,63.72,203.2,144.6,49.19,142.6,23.02
7795,7985,9.011E+04,1.745E+04,5926,2.853E+04,2577
7796,235.7,3320,872.2,266.4,893.6,182.3
7797,1854,1703,36.41,110.2,605.8,48.42
7798,2051,4279,216.8,76.9,182.3,141.7
7799,3083,1437,50.36,174.2,1063,38.95
7800,3384,7095,99.18,97.72,268,62.92
7910,103.8,371.7,441.4,104.7,401.8,107.1
8151,84.67,624.6,65.28,88.04,593.7,39.96
8152,1438,1369,217.7,577.9,3800,97.56
8268,2329,2312,55.13,73.91,364.7,45.92
8269,1253,1.219E+04,357.8,173.3,1004,99.25
8386,1395,819.1,88.15,78.19,394.7,19.17
8626,397.1,1300,175.1,132.9,108.6,63.45
8989,3221,2294,65.19,188.7,994.6,56.3
9231,4830,1.123E+04,508.6,1647,1228,151.2
9232,1814,2194,460.6,363.6,281.5,138.7
9233,74.88,486.7,89.34,40.79,125.9,31.47
9351,7982,5691,54.17,422.8,2899,48.29
9471,157.1,1416,78.97,308,1204,36.92
9472,2557,2351,82.21,109.4,537.4,67.89
9473,2075,3674,52.96,87.01,489.3,57.58
9474,870.5,1091,169.6,243.8,158.9,78.08
9585,7202,3.705E+04,121.3,1718,9497,106.6
9702,1696,4083,81.2,599.5,2597,52.43
9703,294.2,350,151.2,240.8,214,61.62
9822,431.1,1806,286.7,158,101.7,92.58
9823,1753,2470,56.46,83.38,381.7,64.61
10060,740.5,1281,144.1,172.6,126.2,40.53
10180,6507,2.993E+04,61.86,346.8,2628,86.03
10295,6100,1.067E+04,1.143E+04,2410,1.005E+04,893
10419,292.6,1603,451.2,110,404.2,100.8
10420,166.8,3635,676.2,177.8,537.1,184.8
10421,790.7,3371,1438,492.8,2213,231.2
