Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
952,2.462E+04,2585,180.2,1528,2.489E+04,163.1
1967,2.538E+04,8859,1184,691.7,1.002E+04,392.3
2021,3.168E+04,5603,2348,1152,1.699E+04,887.3
2606,2.295E+04,6537,1898,1281,1.799E+04,673.3
2963,2.881E+04,4051,1843,1135,1.492E+04,652.5
2996,6.821E+05,8.1E+04,899.1,2.817E+04,5.599E+05,1024
3615,3.37E+04,9710,2044,1244,1.786E+04,685.5
3646,3.064E+05,8510,375.4,7220,9.084E+04,527
3717,1.113E+05,1.115E+04,314.1,6241,8.21E+04,453.9
4502,6.228E+05,8.6E+05,2.35E+04,2.236E+04,2895,363.7
4537,2.703E+04,9019,2826,1306,1.746E+04,803.1
4628,2.297E+04,4949,1797,1179,1.564E+04,616.3
4785,3.085E+04,8673,2338,1314,1.784E+04,657
5354,8.86E+04,7.472E+04,2.768E+04,1.065E+04,7.434E+04,1707
5972,3.361E+04,1.264E+04,6336,2694,3.626E+04,1583
6483,3.155E+04,7066,1699,1043,1.494E+04,583.3
6595,2.334E+04,2880,1026,709.7,9912,404.2
6720,3.096E+04,6523,2174,1064,1.414E+04,655.3
7700,2.498E+05,5.067E+04,1.069E+04,3.447E+04,7.808E+04,9338
7747,3.243E+04,5.267E+04,45.01,66.71,62.64,43.7
8793,3.305E+04,1.836E+04,75.04,677.8,7408,95.62
8935,8.584E+04,3.396E+04,261.4,800.3,7619,296.6
9114,4.904E+04,4.086E+04,3435,9120,1.791E+05,683.4
9189,2.639E+04,4902,1915,1107,1.59E+04,579.1
9674,3.711E+04,1.106E+04,4465,2276,3.049E+04,1252
9795,1.849E+05,4.56E+04,5834,1.683E+04,3.721E+04,4965
10004,4.757E+04,2.354E+04,1.157E+04,4734,6.349E+04,2636
10691,2.866E+04,6420,1567,1259,1.742E+04,666.1
10841,2.774E+04,4386,655.7,629.4,9210,312.7
11299,5.678E+04,1.072E+04,1863,5948,1.29E+04,1815
11514,2.035E+04,5960,1949,950,1.301E+04,652.2
11838,8.929E+04,8505,246.6,1871,3.358E+04,324
12042,5.016E+04,2.887E+04,166.5,1520,2.267E+04,200.5
12472,2.732E+04,3077,2047,983.1,1.304E+04,589.9
12666,4.611E+04,4.569E+04,9172,5123,7.549E+04,2134
13042,3.063E+04,9652,1478,978.4,1.475E+04,636.7
13382,7.335E+04,8062,207,1671,2.791E+04,253.2
14531,2.898E+04,6853,824.9,1507,3230,835.1
14880,2.23E+04,5430,2140,1228,1.786E+04,676.4
15511,2.884E+04,6.429E+04,141.9,95.36,220.4,183.4
15583,5.403E+04,2.199E+04,6748,3753,5.815E+04,1760
15721,2.43E+04,4417,1706,950.2,1.369E+04,536.1
16164,3.003E+04,5375,2668,1468,1.966E+04,749.8
16712,2.618E+04,4973,1071,762.7,1.12E+04,398.7
16810,2.78E+04,4789,1890,1203,1.63E+04,598.7
17428,2.492E+04,3407,1245,699.3,9253,491
18232,6.276E+04,2.437E+04,1E+04,3588,4.656E+04,2480
18941,2.913E+04,3590,1225,795.5,1.098E+04,476.4
19235,5.494E+04,5.581E+04,102.6,133.6,331.1,101.3
19294,8.209E+04,3.556E+04,205.4,2550,4.095E+04,249.6
19333,3.315E+04,1433,150.2,1549,1.984E+04,173.9
19348,2.611E+04,1899,88.45,114.8,169.2,116.7
19616,2.843E+04,4484,2000,1212,1.692E+04,582.7
19845,1.593E+04,1242,139.5,1126,1.667E+04,192
19931,1.544E+05,9608,411.6,1.302E+04,2.608E+05,653.6
20101,2.923E+05,4.735E+04,527.8,9801,1.777E+05,577.1
20746,3.555E+04,4962,829.6,772.3,1.247E+04,346.8
20927,4.579E+05,5.862E+04,324.4,9412,1.289E+05,419.5
21056,5.228E+04,4.215E+04,179.9,204.6,669.4,180.5
21318,2.732E+04,1.351E+04,2997,1264,1.612E+04,797.4
21390,2.298E+04,8587,2458,1170,1.555E+04,815.2
21781,1.1E+05,6.051E+04,226.1,5030,6.65E+04,344.3
21850,3.375E+04,1.63E+04,121.9,1496,2.011E+04,228.8
22305,2.821E+04,5652,2171,1132,1.653E+04,757.1
22858,4.365E+04,5781,178.8,2100,3.287E+04,297.3
22977,3.413E+05,6.624E+04,243.6,5697,7.343E+04,528.1
23061,2.637E+04,3600,1299,854.8,1.224E+04,448.5
23230,2.49E+04,3463,1427,1017,1.448E+04,486
23297,7.808E+04,9.889E+04,4235,5130,5.108E+04,2908
23622,3.097E+04,7941,893.5,711.1,1.163E+04,344.2
24051,3.144E+05,1.931E+04,461.6,8195,1.097E+05,437.2
25241,3.101E+04,3341,1157,790.6,1.12E+04,332.9
25444,3.836E+04,5703,221.1,2799,4.551E+04,367.1
25472,1.904E+04,1722,941.2,616.4,8832,324.6
26003,2.155E+04,4559,968.9,602.8,7616,388.7
26409,2.495E+04,5297,363.9,4520,7.295E+04,483.5
26657,2.102E+04,4515,805.3,557.5,7148,286.4
26708,3.106E+04,5321,1688,900.7,1.278E+04,583
26881,2.78E+04,4939,1444,931.7,1.325E+04,588.2
27478,5.232E+04,1.567E+04,221.7,5921,8.892E+04,370
27723,2.384E+04,3240,838.2,583.8,8616,320.1
27823,2.393E+05,5.354E+04,1015,2.632E+04,4.511E+05,1093
27862,2.143E+04,5191,1653,1038,1.549E+04,607.4
28211,1.272E+05,1.47E+04,7415,8864,1.878E+04,6010
28689,2.559E+05,1.872E+04,504.2,7538,1.444E+05,546.4
29363,3.214E+04,8437,1792,985.3,1.392E+04,540.6
29459,4.852E+04,4.235E+04,1.04E+04,5046,7.459E+04,2427
29670,1.399E+05,1.57E+04,464.7,8345,1.525E+05,569.6
30666,2.391E+04,5226,831.4,586.9,9313,414.3
30734,3.632E+04,6867,1659,1017,1.581E+04,557.4
30869,1.99E+04,2262,158.9,1591,2.535E+04,245.1
31176,2.947E+04,4317,854.4,722.1,1.06E+04,412.2
31242,5.853E+04,5977,165.7,1013,1.623E+04,218.2
31476,2.188E+04,9130,33.09,112.8,797.5,91.17
31541,3.509E+04,8615,1139,935.1,1.427E+04,484
32483,2.85E+04,3515,1071,738.4,1.072E+04,407.8
32753,2.66E+04,3986,897.7,655.6,9864,288.3
33211,3.92E+04,1.483E+04,8772,4019,5.719E+04,2007
33530,4.929E+04,9.744E+04,103,116.3,309,116.1
34106,2.675E+04,3590,1230,662,1.004E+04,402.9
34914,8.692E+04,8.476E+04,803.3,2.801E+04,3.705E+05,977.6
35112,4.674E+04,1.626E+04,9061,3575,5.1E+04,2099
35199,2.498E+04,1931,1226,629.3,8344,388.7
35654,3.151E+04,7955,1311,900.3,1.45E+04,533.3
35968,2.39E+04,4305,1259,693.6,9208,394.9
36226,6.844E+04,1.352E+04,192.7,1774,2.848E+04,244.4
36283,3.045E+04,1.798E+04,244.2,2926,3.868E+04,221.9
37242,3.269E+04,7765,194.6,2464,3.463E+04,402.2
37256,3.018E+04,7682,1293,996.1,1.491E+04,471
37349,2.731E+04,4867,1347,767.1,1.05E+04,468.8
37630,2.437E+04,4960,259.6,222.6,2359,156
37755,3.527E+04,8618,1488,930.3,1.198E+04,541.9
38046,2.156E+04,6279,1536,984.5,1.376E+04,589
38070,3.177E+04,5082,1098,1101,1.587E+04,576.4
