Particle ID,FWS Total,SWS Total,FL Yellow Total,FL Orange Total,FL Red Total,FL Green Total
28,2.814E+04,5625,1415,768.3,9920,464.1
37,9147,503.2,43.28,154.4,2300,79.82
63,1.769E+05,3.359E+04,208,169.5,37.45,10.78
64,2E+05,3.246E+04,273.5,205.2,40.34,10
65,2E+05,7.467E+04,288.4,289.5,43.72,11.49
66,2E+05,9.042E+04,303.4,309.5,36.52,11.54
67,1.873E+05,1E+05,323.2,287,37.71,11.56
84,3.352E+04,6635,3194,1440,1.83E+04,734.1
91,1.883E+04,2.665E+04,38.62,41.04,73.91,40.8
109,3.031E+05,5.292E+04,1.129E+04,5.852E+04,1.198E+05,6390
159,1.338E+04,1277,89.3,97.33,204.2,108.7
164,1.689E+04,3189,121.2,1117,1.511E+04,137.6
240,9492,1511,104.4,407.8,6868,136.8
280,3.131E+04,4559,320.6,2908,4.719E+04,347.9
294,5.89E+04,1.968E+04,108,457.6,3264,109.8
348,1.522E+04,1656,52.03,65.46,141,61.43
374,5.718E+04,2.907E+04,7672,4000,6.17E+04,1624
482,2.354E+04,3595,1083,516.7,7222,307.7
491,3.568E+04,5898,1921,1078,1.58E+04,572.3
494,1.011E+04,1180,101.6,193.2,2650,90.76
638,1.246E+04,1332,51.92,47.07,67.72,58.36
760,3.272E+04,7879,1813,1086,1.456E+04,541.9
761,5.44E+04,2.821E+04,173.6,2162,2.88E+04,328.6
786,2.65E+04,6401,1352,690.6,1.004E+04,494.2
823,4.121E+04,1.351E+04,2299,1293,1.886E+04,654
859,1.744E+04,7436,755.1,525.3,5040,341.6
946,1.967E+04,6418,87.04,571.4,6083,130
952,2.462E+04,2585,180.2,1528,2.489E+04,163.1
989,2.827E+04,3570,1509,731.2,9414,450.4
991,2.309E+04,3529,1027,579.7,7554,361.1
1053,1.135E+04,1030,76.66,180.8,2571,107.3
1180,3.176E+04,6853,1321,704.1,9514,463.8
1250,2.283E+04,4489,902.9,674.7,9892,331.2
1305,3.271E+04,6283,1468,805,1.034E+04,494.2
1318,2.72E+04,5662,593.9,602.8,9313,290.7
1323,2.13E+04,3350,1389,717.6,9455,390.7
1467,9820,1148,188,300,3116,122.7
1584,2.47E+04,3955,909.2,588.2,7741,431.2
1681,1.369E+04,3895,1002,680.1,9383,294.5
1732,1.444E+04,1.572E+04,33.51,36.04,208.2,52.92
1738,1.498E+04,2494,167.3,131.5,1052,62.08
1742,1.739E+04,1.092E+04,1413,781.3,1.038E+04,462.5
1762,3.241E+04,1.024E+04,2104,1156,1.584E+04,596.9
1776,9888,1265,80.42,248.6,3200,131.8
1795,2.346E+04,5704,1409,4203,9508,1253
1801,2.771E+04,5380,1856,852.1,1.108E+04,574.3
1804,3.335E+04,9360,2076,1117,1.497E+04,718.6
1870,1.552E+04,6937,44.09,39.35,160.9,83.34
1967,2.538E+04,8859,1184,691.7,1.002E+04,392.3
1998,1.22E+04,1452,74.99,188.2,2833,115.5
2021,3.168E+04,5603,2348,1152,1.699E+04,887.3
2094,1.729E+04,3.07E+04,125,206,6835,118.2
2099,5.542E+04,8.071E+04,291.1,5723,7.888E+04,519.7
2172,1.361E+04,1311,127,213.8,4236,97.65
2309,1.055E+04,841.4,91.54,198.5,4205,177
2360,1.182E+04,865.3,107.4,385.8,7656,129
2413,3.182E+04,1.107E+04,1512,1068,1.502E+04,437.5
2511,2.13E+04,7118,119,619,7056,198
2542,1.521E+04,2781,1314,784.8,1.02E+04,385.5
2606,2.295E+04,6537,1898,1281,1.799E+04,673.3
2619,2.399E+04,7124,401.1,236.1,1494,181
2622,1.818E+04,2.112E+04,67.22,43.81,93.09,59.34
2657,2.164E+04,3662,1055,689.7,1.044E+04,409
2682,1.477E+04,3625,2813,1053,1.263E+04,712.1
2692,9131,729.9,68.45,226.9,4996,95.45
2704,1.041E+04,2105,16.07,11.51,47.61,23.89
2800,2.62E+04,4975,1134,882.7,1.285E+04,412
2866,1.388E+04,1822,180.6,649.3,1.136E+04,169.3
2874,2.523E+04,5504,1067,680.7,9308,363.2
2963,2.881E+04,4051,1843,1135,1.492E+04,652.5
2996,6.821E+05,8.1E+04,899.1,2.817E+04,5.599E+05,1024
3014,1.413E+04,1426,91.6,230.7,3755,124.1
3027,2.349E+04,5495,96.87,278.1,5452,157.9
3086,1.706E+04,9620,3681,1321,1.643E+04,1044
3134,1.35E+04,3734,1543,792.9,1.044E+04,422.1
3184,2.28E+04,9.029E+04,421.6,7843,1.435E+05,521.7
3208,3.219E+04,6179,3254,1357,1.702E+04,748.4
3260,3.115E+04,4757,1410,879,1.305E+04,614.6
3266,2.217E+04,7485,65.01,224.2,1705,81.13
3269,2.666E+04,6501,1172,709.5,9561,431.2
3271,2.875E+04,4715,1593,867.2,1.162E+04,563.5
3374,2.981E+04,6277,87.82,210.6,2089,143.7
3379,1.657E+04,3427,294.4,1189,1.8E+04,228
3405,1.215E+04,1206,84.96,199.2,3085,184.6
3447,4.986E+04,1.493E+04,142.9,1233,1.999E+04,164.8
3457,9694,1511,65.14,160.2,3165,77.68
3510,1.294E+04,1137,61.37,147,2027,89.75
3513,6.516E+04,1.76E+04,6610,3495,5.008E+04,1707
3541,1.76E+04,9083,134.8,1349,1.624E+04,324.6
3572,1.008E+04,3254,250.8,255.3,2262,265.5
3593,1.328E+04,1860,137.8,500.7,6590,130.4
3615,3.37E+04,9710,2044,1244,1.786E+04,685.5
3646,3.064E+05,8510,375.4,7220,9.084E+04,527
3717,1.113E+05,1.115E+04,314.1,6241,8.21E+04,453.9
3747,3.162E+04,3293,1406,918.1,1.363E+04,446.1
3769,3.184E+04,8777,2028,1155,1.594E+04,692.9
3790,3.618E+04,1.069E+04,2632,1214,1.704E+04,825.5
3822,2.762E+04,5661,1325,826.9,1.066E+04,521.8
3823,5.168E+04,1.768E+04,208.7,2186,3.414E+04,363.8
3849,2.618E+04,5337,1529,735.8,1.028E+04,492.7
3960,2.484E+04,1.078E+04,191.9,1908,2.668E+04,214.1
4067,1.282E+04,2082,432.2,175.7,1051,284.7
4260,2.58E+04,6751,1195,778.6,1.091E+04,499.9
4267,5.445E+04,1.911E+04,8890,4583,6.503E+04,2029
4400,1.78E+04,4385,138.4,428.2,9368,128.3
4502,6.228E+05,8.6E+05,2.35E+04,2.236E+04,2895,363.7
4519,2.301E+04,2342,1831,664,7544,477.5
4537,2.703E+04,9019,2826,1306,1.746E+04,803.1
4566,1.041E+05,5.091E+04,137.6,126.7,38.66,22.12
4567,1.196E+05,3.508E+04,314.4,237.1,38.46,11.19
4568,9.303E+05,1.831E+05,1892,1531,296.5,62.62
4569,8.4E+05,3.543E+05,1746,1517,203,58.3
4570,2E+05,8.47E+04,422.2,331.8,39.89,11.43
4575,1.113E+04,1190,128.4,231.4,3063,192.6
4596,9.929E+04,6.16E+04,300.2,6079,8.512E+04,333.6
4618,8533,1339,69.76,176.1,2699,180.2
4625,1.317E+04,1448,196.8,913.2,1.261E+04,265.4
4628,2.297E+04,4949,1797,1179,1.564E+04,616.3
4713,3.608E+04,5963,1739,914.7,1.168E+04,497.6
4753,2.857E+04,7034,1237,808.3,1.197E+04,427.6
4776,3.253E+04,7272,270.8,2285,3.531E+04,301.6
4785,3.085E+04,8673,2338,1314,1.784E+04,657
4789,1.951E+04,1468,122.2,235.5,3047,230.3
4815,2.421E+04,6183,2189,1071,1.42E+04,607.1
4860,7454,1121,32.39,28.12,48.22,29.94
4898,3.641E+04,9870,59.08,178.5,3036,163.3
4910,8238,1.267E+04,149.6,295.5,4455,113.9
4927,2.219E+04,4162,31.06,35.92,147.6,55.49
5033,1.712E+04,4222,170.6,1269,1.636E+04,121.8
5065,1.358E+04,2234,156.5,1399,1.897E+04,304.1
5154,1.624E+04,4206,2509,1153,1.578E+04,788.8
5195,1.06E+04,756.2,42.59,69.55,110.5,50.58
5223,7.285E+04,4.906E+04,440.3,1.076E+04,1.627E+05,520.2
5288,8643,1458,88.02,201.8,4336,103.2
5293,2.523E+04,3768,1792,912.8,1.378E+04,587.2
