Ecotaxa_annotation_category,Ecotaxa_annotation_hierarchy,Full_hierarchy,Rank,Type,Domain,Phylum,Class,Order,Family,Genus,Functional_group,WORMS_ID,Reference,Citation
Bacteria,living>Bacteria,,Kingdom,Living,,,,,,,,urn:lsid:marinespecies.org:taxname:6,"Margulis, L.; Schwartz, K.V. (1982). Five Kingdoms : an illustrated guide to the phyla of life on earth. Second edition. Freeman.",WoRMS(2025).Bacteria.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=6on2025-08-04
Chroococcales,living>Bacteria>Chroococcales,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class)>Oscillatoriophycidae(Subclass)>Chroococcales(Order),Order,Living,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,,,,urn:lsid:marinespecies.org:taxname:146543,Integrated Taxonomic Information System (ITIS). ,"Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).Chroococcales.Accessedthrough:WorldRegisterofMarineSpeciesat:https://marinespecies.org/aphia.php?p=taxdetails&id=146543on2025-08-04"
Aphanothece,living>Bacteria>Chroococcales>Aphanothece,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class)>Oscillatoriophycidae(Subclass)>Chroococcales(Order)>Microcystaceae(Family)>Aphanothece(Genus),Genus,Living,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Aphanothece,,urn:lsid:marinespecies.org:taxname:146715,"Hällfors, G. (2004). Checklist of Baltic Sea Phytoplankton Species (including some heterotrophic protistan groups). <em>Baltic Sea Environment Proceedings.</em> No. 95: 210 pp.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).AphanotheceNägeli,1849.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=146715on2025-08-04"
Cyanobacteria,living>Bacteria>Cyanobacteria,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum),Phylum,Living,Bacteria,Cyanobacteria,,,,,,urn:lsid:marinespecies.org:taxname:146537,"Margulis, L.; Schwartz, K.V. (1998). Five Kingdoms: an illustrated guide to the Phyla of life on earth. 3rd edition. Freeman: New York, NY (USA). ISBN 0-7167-3027-8. xx, 520 pp.",WoRMS(2025).Cyanobacteria.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=146537on2025-08-04
Cyanophyceae,living>Bacteria>Cyanobacteria>Cyanophyceae,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class),Class,Living,Bacteria,Cyanobacteria,Cyanophyceae,,,,,urn:lsid:marinespecies.org:taxname:146542,"Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. <em>World-wide electronic publication, National University of Ireland, Galway.</em> searched on YYYY-MM-DD.",WoRMS(2025).Cyanophyceae.Accessedat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=146542on2025-08-04
Anabaena,living>Bacteria>Cyanobacteria>Cyanophyceae>Anabaena,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class)>Nostocophycidae(Subclass)>Nostocales(Order)>Aphanizomenonaceae(Family)>Anabaena(Genus),Genus,Living,Bacteria,Cyanobacteria,Cyanophyceae,Nostocales,Aphanizomenonaceae,Anabaena,,urn:lsid:marinespecies.org:taxname:146585,"Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. <em>World-wide electronic publication, National University of Ireland, Galway.</em> searched on YYYY-MM-DD.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).AnabaenaBorydeSaint-VincentexBornet&Flahault,1886.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=146585on2025-08-04"
Aphanocapsa,living>Bacteria>Cyanobacteria>Cyanophyceae>Aphanocapsa,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class)>Oscillatoriophycidae(Subclass)>Chroococcales(Order)>Microcystaceae(Family)>Aphanocapsa(Genus),Genus,Living,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Aphanocapsa,,urn:lsid:marinespecies.org:taxname:146562,"Nageli, C. (1849). Gattungen einzelliger Algen, physiologisch und systematisch bearbeitet. <em>Neue Denkschr. Allg. Schweiz. Ges. Gesammten Naturwiss.</em> 10: 1-139.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).AphanocapsaC.Nägeli,1849.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=146562on2025-08-04"
Limnothrix,living>Bacteria>Cyanobacteria>Cyanophyceae>Limnothrix,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class)>Pseudanabaenales(Order)>Pseudanabaenaceae(Family)>Limnothrix(Genus),Genus,Living,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Limnothrix,,urn:lsid:marinespecies.org:taxname:177506,"Guiry, M.D. & Guiry, G.M. (2025). AlgaeBase. <em>World-wide electronic publication, National University of Ireland, Galway.</em> searched on YYYY-MM-DD.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).LimnothrixMeffert,1987.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=177506on2025-08-04"
Microcystis sp,living>Bacteria>Cyanobacteria>Cyanophyceae>Microcystis sp,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class)>Oscillatoriophycidae(Subclass)>Chroococcales(Order)>Microcystaceae(Family)>Microcystis(Genus)>Microcystis splendens(Species),Species,Living,Bacteria,Cyanobacteria,Cyanophyceae,Chroococcales,Microcystaceae,Microcystis,,urn:lsid:marinespecies.org:taxname:614915,"Hollenberg, G. J. (1939). Some new Myxophyceae from Southern California. Bulletin of the Torrey Botanical Club, 66: 489-494.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).MicrocystissplendensHollenberg,1939.Accessedthrough:WorldRegisterofMarineSpeciesat:https://marinespecies.org/aphia.php?p=taxdetails&id=614915on2025-08-04"
Pseudanabaena,living>Bacteria>Cyanobacteria>Cyanophyceae>Pseudanabaena,Bacteria(Kingdom)>Negibacteria(Subkingdom)>Cyanobacteria(Phylum)>Cyanophyceae(Class)>Pseudanabaenales(Order)>Pseudanabaenaceae(Family)>Pseudanabaena(Genus),Genus,Living,Bacteria,Cyanobacteria,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,,urn:lsid:marinespecies.org:taxname:177588,"Hällfors, G. (2004). Checklist of Baltic Sea Phytoplankton Species (including some heterotrophic protistan groups). <em>Baltic Sea Environment Proceedings.</em> No. 95: 210 pp.","Guiry,M.D.&Guiry,G.M.(2025).AlgaeBase.World-wideelectronicpublication,NationalUniversityofIreland,Galway(taxonomicinformationrepublishedfromAlgaeBasewithpermissionofM.D.Guiry).PseudanabaenaLauterborn,1915.Accessedthrough:WorldRegisterofMarineSpeciesat:https://www.marinespecies.org/aphia.php?p=taxdetails&id=177588on2025-08-04"
