epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,533.729,3.15422,3.55572,4.82817,1.48288,0.17193,0.17599,0.08997,0.02435,0.15222,0.17034,0.07621,0.01829,2.80668,3.38772,3.56412,1.29612,0.000663677,0.000663677,0.000663677
2,1140.79,2.75358,2.99047,2.92106,1.32421,0.20299,0.19658,0.10983,0.03269,0.204,0.19308,0.10846,0.02728,2.65221,3.04701,2.57583,1.25238,0.00119864,0.00119864,0.00119864
3,1715.93,2.64336,2.94279,2.37903,1.27604,0.25363,0.20435,0.13036,0.04037,0.21876,0.18026,0.10723,0.0284,2.47935,2.92804,2.24859,1.21439,0.0016016,0.0016016,0.0016016
4,2355.79,2.56518,2.78235,2.16121,1.23993,0.29683,0.26418,0.17995,0.06358,0.26602,0.23965,0.15423,0.04283,2.41275,4.0029,2.01233,1.1953,0.001406,0.001406,0.001406
5,3022.28,2.46569,2.7127,2.02018,1.21154,0.32073,0.27312,0.20241,0.06839,0.29865,0.25602,0.18345,0.0518,2.3348,2.79998,1.88422,1.16471,0.001208,0.001208,0.001208
6,3643.86,2.37516,2.65319,1.92168,1.17895,0.30482,0.27078,0.19458,0.07634,0.29321,0.26651,0.19283,0.06347,2.24502,2.78357,1.84201,1.13858,0.00101,0.00101,0.00101
7,4273.87,2.32571,2.58354,1.85024,1.16242,0.32054,0.26729,0.20504,0.07797,0.30667,0.2533,0.19914,0.06325,2.23786,2.7411,1.81292,1.13211,0.000812,0.000812,0.000812
8,4901.97,2.26687,2.50758,1.77803,1.14998,0.36888,0.29565,0.23211,0.08784,0.32986,0.27156,0.20632,0.06337,2.17704,2.63086,1.72812,1.12527,0.000614,0.000614,0.000614
9,5528.12,2.20394,2.48109,1.74899,1.12685,0.3658,0.3108,0.24912,0.09803,0.35618,0.28322,0.23387,0.07588,2.12777,2.57895,1.67526,1.09422,0.000416,0.000416,0.000416
10,6119.75,2.17228,2.40353,1.68718,1.10909,0.35403,0.31857,0.25191,0.10651,0.35223,0.28127,0.2326,0.07824,2.06063,2.58029,1.62567,1.08279,0.000218,0.000218,0.000218
